customer_id,item_id,item_type,title_or_name,category,action,timestamp
C001,CT026,content,Courtroom Justice - 29,Drama,view,2024-06-17
C001,CT018,content,Smartphone War - 60,Tech Review,view,2024-03-30
C001,CT129,content,Latest GPU Test - 6,Tech Review,like,2024-01-30
C001,CT032,content,Family Secrets - 40,Drama,watch_later,2024-02-27
C001,CT096,content,Sitcom Life - 12,Comedy,watch_later,2024-06-08
C001,CT003,content,Future of AI - 21,Tech Review,watch_later,2024-05-22
C001,P013,product,Smart Backpack Eco,Fashion,purchase,2024-06-26
C001,P054,product,Designer Sunglasses Max,Fashion,view,2024-03-10
C001,CT103,content,Smartphone War - 40,Tech Review,like,2024-03-27
C001,P099,product,Smart Bulb Pro,Home,view,2024-02-06
C001,CT071,content,Crypto Heist - 67,Action,like,2024-01-18
C001,P006,product,Standing Desk Ultra,Home,purchase,2024-01-08
C001,P037,product,Smart Backpack Max,Fashion,purchase,2024-02-25
C001,P016,product,Robot Vacuum 2025 Edition,Home,cart,2024-03-28
C001,P031,product,4K Monitor Eco,Electronics,cart,2024-03-24
C001,CT142,content,Funny Fails - 90,Comedy,watch_later,2024-06-01
C001,P071,product,Robot Vacuum Lite,Home,view,2024-02-09
C001,P053,product,Wireless Earbuds Eco,Electronics,purchase,2024-01-13
C001,CT105,content,Star Warp - 16,Sci-Fi,like,2024-04-23
C001,CT151,content,Family Secrets - 33,Drama,like,2024-06-04
C001,CT110,content,The CEO - 36,Drama,like,2024-02-25
C001,CT106,content,Future of AI - 92,Tech Review,view,2024-03-29
C001,CT180,content,Latest GPU Test - 96,Tech Review,like,2024-06-22
C002,CT005,content,Star Warp - 81,Sci-Fi,watch_later,2024-03-19
C002,P096,product,Air Purifier 2025 Edition,Home,cart,2024-06-02
C002,P012,product,Denim Jacket Max,Fashion,view,2024-03-18
C002,CT127,content,Future of AI - 13,Tech Review,view,2024-03-06
C002,P027,product,Standing Desk Eco,Home,view,2024-01-02
C002,CT006,content,Star Warp - 10,Sci-Fi,like,2024-02-14
C002,P120,product,Gaming Console Series X,Entertainment,purchase,2024-06-29
C002,P005,product,Gaming Console Series X,Entertainment,purchase,2024-06-20
C002,CT007,content,Smartphone War - 35,Tech Review,view,2024-04-11
C002,CT038,content,Deep Ocean - 2,Documentary,view,2024-04-21
C002,P085,product,Smart Bulb Lite,Home,view,2024-03-21
C002,CT053,content,Medical Ward - 71,Drama,watch_later,2024-04-13
C002,CT084,content,Space Race - 16,Documentary,like,2024-03-15
C002,P046,product,Bluetooth Speaker Max,Entertainment,view,2024-03-24
C002,P003,product,Air Purifier Series X,Home,purchase,2024-04-27
C002,CT022,content,Battlefield Earth - 42,Action,like,2024-01-23
C002,CT025,content,The Last Stand - 96,Action,view,2024-03-03
C002,CT120,content,The Last Stand - 93,Action,like,2024-05-14
C002,P077,product,Standing Desk Ultra,Home,cart,2024-03-27
C002,P082,product,Gaming Console Pro,Entertainment,view,2024-01-20
C002,CT047,content,Nature Unbound - 67,Documentary,view,2024-05-15
C002,CT046,content,Cyber Soul - 44,Sci-Fi,like,2024-03-30
C002,CT134,content,Future of AI - 75,Tech Review,watch_later,2024-02-07
C003,P112,product,Running Shoes Lite,Fashion,cart,2024-02-20
C003,P095,product,Bluetooth Speaker Lite,Entertainment,view,2024-06-16
C003,P095,product,Bluetooth Speaker Lite,Entertainment,purchase,2024-05-06
C003,CT105,content,Star Warp - 16,Sci-Fi,watch_later,2024-05-28
C003,CT108,content,Sitcom Life - 71,Comedy,watch_later,2024-06-13
C003,CT105,content,Star Warp - 16,Sci-Fi,watch_later,2024-03-23
C003,CT170,content,Standup Special - 16,Comedy,watch_later,2024-03-21
C003,P030,product,Mechanical Keyboard Lite,Electronics,view,2024-04-30
C003,CT130,content,Deep Ocean - 46,Documentary,like,2024-03-11
C003,CT009,content,Star Warp - 89,Sci-Fi,like,2024-05-09
C003,P067,product,Robot Vacuum Lite,Home,cart,2024-04-25
C003,P072,product,Smart Backpack Lite,Fashion,cart,2024-03-14
C004,CT087,content,Medical Ward - 95,Drama,view,2024-06-06
C004,CT200,content,Courtroom Justice - 14,Drama,like,2024-04-28
C004,CT045,content,Standup Special - 63,Comedy,watch_later,2024-01-11
C004,CT014,content,Speed Run - 97,Action,watch_later,2024-06-15
C004,P006,product,Standing Desk Ultra,Home,purchase,2024-05-01
C004,CT138,content,The CEO - 57,Drama,view,2024-04-25
C004,P113,product,Smart Bulb Eco,Home,cart,2024-01-22
C005,CT050,content,Sitcom Life - 3,Comedy,view,2024-03-04
C005,CT016,content,Star Warp - 63,Sci-Fi,like,2024-05-14
C005,CT044,content,Funny Fails - 4,Comedy,view,2024-04-03
C005,P103,product,Smart Backpack Max,Fashion,cart,2024-04-09
C005,CT096,content,Sitcom Life - 12,Comedy,like,2024-06-22
C005,CT166,content,Battlefield Earth - 36,Action,watch_later,2024-06-14
C005,P060,product,Smart Bulb Pro,Home,cart,2024-01-25
C005,CT128,content,Future of AI - 22,Tech Review,like,2024-03-13
C005,P092,product,Portable Projector Ultra,Entertainment,purchase,2024-06-03
C005,CT058,content,Crypto Heist - 28,Action,like,2024-01-21
C005,CT025,content,The Last Stand - 96,Action,view,2024-03-30
C005,P097,product,Smart Bulb Pro,Home,purchase,2024-06-27
C005,CT190,content,The CEO - 90,Drama,view,2024-06-01
C005,CT011,content,Sitcom Life - 54,Comedy,view,2024-03-20
C005,CT036,content,Latest GPU Test - 73,Tech Review,watch_later,2024-03-25
C005,CT033,content,Speed Run - 74,Action,watch_later,2024-06-28
C005,CT122,content,Funny Fails - 80,Comedy,watch_later,2024-06-24
C005,CT040,content,History of Tech - 56,Documentary,view,2024-06-14
C005,CT169,content,Coding 101 - 8,Tech Review,watch_later,2024-04-02
C005,P105,product,Drone Lite,Electronics,cart,2024-02-16
C005,CT125,content,Latest GPU Test - 80,Tech Review,like,2024-05-04
C006,P035,product,Designer Sunglasses Series X,Fashion,view,2024-02-09
C006,P111,product,Winter Coat Max,Fashion,view,2024-05-09
C006,CT102,content,Latest GPU Test - 4,Tech Review,watch_later,2024-05-14
C006,P007,product,Drone Ultra,Electronics,cart,2024-06-07
C006,P083,product,Winter Coat Pro,Fashion,cart,2024-02-09
C006,P078,product,Smart Backpack Series X,Fashion,purchase,2024-06-08
C006,CT038,content,Deep Ocean - 2,Documentary,view,2024-04-22
C006,P049,product,Smart Watch Ultra,Electronics,cart,2024-06-22
C006,CT157,content,Future of AI - 82,Tech Review,like,2024-06-05
C006,P042,product,Smart Bulb Series X,Home,purchase,2024-04-24
C006,P112,product,Running Shoes Lite,Fashion,view,2024-03-20
C007,CT049,content,Standup Special - 89,Comedy,view,2024-04-04
C007,CT028,content,Crypto Heist - 3,Action,watch_later,2024-04-22
C007,CT015,content,Standup Special - 63,Comedy,like,2024-04-07
C007,CT031,content,Coding 101 - 22,Tech Review,like,2024-02-11
C007,CT108,content,Sitcom Life - 71,Comedy,watch_later,2024-02-05
C007,CT108,content,Sitcom Life - 71,Comedy,view,2024-06-13
C007,CT072,content,Sitcom Life - 39,Comedy,like,2024-05-21
C007,CT065,content,Medical Ward - 62,Drama,watch_later,2024-05-12
C007,CT002,content,Future of AI - 79,Tech Review,like,2024-01-22
C007,CT192,content,Cyber Soul - 59,Sci-Fi,like,2024-04-25
C007,CT070,content,The CEO - 32,Drama,view,2024-04-21
C007,P045,product,Portable Projector Pro,Entertainment,view,2024-04-25
C007,CT059,content,Coding 101 - 93,Tech Review,view,2024-04-16
C007,P073,product,Standing Desk Eco,Home,purchase,2024-04-05
C007,P086,product,Running Shoes Lite,Fashion,view,2024-04-05
C007,P103,product,Smart Backpack Max,Fashion,cart,2024-01-26
C007,CT094,content,History of Tech - 43,Documentary,watch_later,2024-03-26
C007,CT061,content,Deep Ocean - 23,Documentary,view,2024-01-10
C007,P115,product,Running Shoes Pro,Fashion,cart,2024-06-27
C007,CT180,content,Latest GPU Test - 96,Tech Review,watch_later,2024-04-30
C008,CT070,content,The CEO - 32,Drama,view,2024-01-05
