product_id,name,category,price,description
P001,Robot Vacuum Ultra,Home,1436.68,High quality robot vacuum suitable for home enthusiasts. Features state-of-the-art technology.
P002,Smart Bulb Pro,Home,582.29,High quality smart bulb suitable for home enthusiasts. Features state-of-the-art technology.
P003,Air Purifier Series X,Home,411.49,High quality air purifier suitable for home enthusiasts. Features state-of-the-art technology.
P004,Drone Max,Electronics,813.62,High quality drone suitable for electronics enthusiasts. Features state-of-the-art technology.
P005,Gaming Console Series X,Entertainment,453.9,High quality gaming console suitable for entertainment enthusiasts. Features state-of-the-art technology.
P006,Standing Desk Ultra,Home,1062.77,High quality standing desk suitable for home enthusiasts. Features state-of-the-art technology.
P007,Drone Ultra,Electronics,1164.14,High quality drone suitable for electronics enthusiasts. Features state-of-the-art technology.
P008,VR Headset Ultra,Electronics,1302.4,High quality vr headset suitable for electronics enthusiasts. Features state-of-the-art technology.
P009,Bluetooth Speaker Max,Entertainment,960.81,High quality bluetooth speaker suitable for entertainment enthusiasts. Features state-of-the-art technology.
P010,Robot Vacuum Lite,Home,545.8,High quality robot vacuum suitable for home enthusiasts. Features state-of-the-art technology.
P011,Smart Bulb Series X,Home,959.77,High quality smart bulb suitable for home enthusiasts. Features state-of-the-art technology.
P012,Denim Jacket Max,Fashion,581.59,High quality denim jacket suitable for fashion enthusiasts. Features state-of-the-art technology.
P013,Smart Backpack Eco,Fashion,1157.1,High quality smart backpack suitable for fashion enthusiasts. Features state-of-the-art technology.
P014,Smart Watch Eco,Electronics,67.51,High quality smart watch suitable for electronics enthusiasts. Features state-of-the-art technology.
P015,Coffee Maker Lite,Home,117.96,High quality coffee maker suitable for home enthusiasts. Features state-of-the-art technology.
P016,Robot Vacuum 2025 Edition,Home,758.86,High quality robot vacuum suitable for home enthusiasts. Features state-of-the-art technology.
P017,Portable Projector Lite,Entertainment,226.65,High quality portable projector suitable for entertainment enthusiasts. Features state-of-the-art technology.
P018,Standing Desk Max,Home,1348.78,High quality standing desk suitable for home enthusiasts. Features state-of-the-art technology.
P019,Bluetooth Speaker Ultra,Entertainment,1496.04,High quality bluetooth speaker suitable for entertainment enthusiasts. Features state-of-the-art technology.
P020,Winter Coat Max,Fashion,154.55,High quality winter coat suitable for fashion enthusiasts. Features state-of-the-art technology.
P021,VR Headset Pro,Electronics,246.21,High quality vr headset suitable for electronics enthusiasts. Features state-of-the-art technology.
P022,Designer Sunglasses Series X,Fashion,114.02,High quality designer sunglasses suitable for fashion enthusiasts. Features state-of-the-art technology.
P023,Vinyl Player Series X,Entertainment,392.09,High quality vinyl player suitable for entertainment enthusiasts. Features state-of-the-art technology.
P024,Drone 2025 Edition,Electronics,189.54,High quality drone suitable for electronics enthusiasts. Features state-of-the-art technology.
P025,Air Purifier Pro,Home,454.38,High quality air purifier suitable for home enthusiasts. Features state-of-the-art technology.
P026,Designer Sunglasses Pro,Fashion,1431.65,High quality designer sunglasses suitable for fashion enthusiasts. Features state-of-the-art technology.
P027,Standing Desk Eco,Home,284.4,High quality standing desk suitable for home enthusiasts. Features state-of-the-art technology.
P028,VR Headset 2025 Edition,Electronics,461.7,High quality vr headset suitable for electronics enthusiasts. Features state-of-the-art technology.
P029,Denim Jacket Lite,Fashion,1148.52,High quality denim jacket suitable for fashion enthusiasts. Features state-of-the-art technology.
P030,Mechanical Keyboard Lite,Electronics,743.14,High quality mechanical keyboard suitable for electronics enthusiasts. Features state-of-the-art technology.
P031,4K Monitor Eco,Electronics,1214.03,High quality 4k monitor suitable for electronics enthusiasts. Features state-of-the-art technology.
P032,Running Shoes Ultra,Fashion,1319.45,High quality running shoes suitable for fashion enthusiasts. Features state-of-the-art technology.
